cba,9904895,10304,187,300
cbb,9814680,10068,43,136
cbc,9971881,8002,28,46
cbd,9943173,9420,42,128
cbe,9788825,8142,132,253
cbf,9988876,8426,297,451
cbg,9990247,7941,49,106
cca,9695444,8771,21,99
ccb,9897172,8356,43,152
ccc,9935426,9582,167,444
ccd,9976642,9174,142,219
cce,9996787,11620,142,264
ccf,9975123,8883,21,77
ccg,9864766,8897,70,178
cda,9952497,9951,11,41
cdb,9643863,9241,117,230
cdc,9808156,9064,248,408
cdd,9961540,9498,81,198
cde,9898240,8193,37,70
cdf,9652651,9040,188,412
cdg,9702346,9664,149,231
cea,9737851,10077,49,111
ceb,9970263,7889,251,399
cec,9849169,10000,19,38
ced,9978994,8000,62,265
cee,9839184,9065,149,316
cef,9945858,12671,306,462
ceg,9836762,8179,79,200
cfa,9997524,8398,184,411
cfb,9959262,9200,135,307
cfc,9712976,9217,118,255
cfd,9989721,7882,159,227
cfe,9883937,9247,303,459
cff,9871030,9439,559,997
cfg,9762380,8938,171,272
cga,9892297,8122,134,341
cgb,9638554,7765,136,291
cgc,9975083,8985,8,30
cgd,9978043,10600,84,188
cge,9665816,10041,63,241
cgf,9952726,7930,47,79
cgg,9824033,8703,125,210
daa,9316632,9873,17,49
dab,9992437,7092,201,425
dac,9998557,9709,90,157
dad,9797840,8059,60,150
dae,9562281,9008,21,44
daf,9986254,8164,152,343
dag,9609541,9180,108,237
dba,9836217,8722,274,540
dbb,9824883,7906,198,301
dbc,9927711,9344,190,322
dbd,9705497,9396,11,38
dbe,9651096,9522,30,72
dbf,9979748,10503,144,257
dbg,9936237,8921,6,17
dca,9924103,8019,212,344
dcb,9992764,8346,172,297
dcc,9687716,9520,14,44
dcd,9917467,8760,8,19
dce,9989044,10590,374,514
dcf,9820892,7636,137,201
dcg,9669304,9630,18,48
dda,9938823,8627,75,116
ddb,9896897,8710,5,7
ddc,9980569,8949,108,243
ddd,9875594,9022,128,290
dde,9760074,8435,58,93
ddf,9993054,10432,271,451
ddg,9467645,8842,267,382
dea,9792327,7239,252,340
deb,9863853,9838,144,288
dec,9922470,9242,66,103
ded,9473054,8984,5,14
dee,9383676,9573,111,220
def,9948014,8299,133,202
deg,9969641,9597,94,181
dfa,9752861,8914,388,794
dfb,9846154,9604,85,290
dfc,9824268,8178,115,171
dfd,9753055,8195,287,398
dfe,9839010,9470,432,792
dff,9390983,7111,6,19
dfg,9832996,8825,152,220
dga,9693898,8778,24,94
dgb,9994025,8145,219,442
dgc,9859751,8150,27,68
dgd,9828656,8849,250,408
dge,9961381,7531,62,181
dgf,9867542,7664,195,381
dgg,9870419,9068,14,64
eaa,9798949,9443,122,292
eab,9759799,8545,17,54
eac,9813682,9460,210,311
ead,9795205,7068,14,46
eae,9913741,11014,75,137
eaf,9727040,7819,36,51
eag,9882295,9218,33,106
eba,9821686,9698,5,8
ebb,9920369,8785,103,276
ebc,9480233,9452,221,345
ebd,9979687,8058,207,310
ebe,9781004,8976,19,48
ebf,9974537,5806,107,190
ebg,9954115,10402,454,869
eca,9578792,10593,181,348
ecb,9988310,6824,195,285
ecc,9964064,7570,13,35
ecd,9594373,9489,184,339
ece,9897734,9031,330,561
ecf,9943545,8745,33,88
ecg,9907590,10873,175,359
eda,9954425,10832,65,149
edb,9724230,8039,136,225
edc,9468974,10741,6,17
edd,9953394,10812,136,234
ede,9978692,9239,81,316
edf,9735756,8781,87,246
edg,9916603,9164,139,230
eea,9919178,8200,251,443
eeb,9580846,9876,149,250
eec,9825183,9276,156,285
eed,9878774,8587,88,135
eee,9960708,7813,98,202
eef,9771158,9775,80,203
eeg,9893920,9151,99,227
efa,9884108,9469,438,810
efb,9987812,9390,40,82
efc,9810916,9135,121,267
efd,9984529,10415,19,45
efe,9763276,9213,104,239
eff,9418904,9123,100,198
efg,9958328,6942,129,224
ega,9312760,9315,27,96
egb,9801943,8920,207,305
egc,9981310,8992,138,312
egd,9727374,10571,6,19
ege,9945625,7317,130,277
egf,9983096,9160,25,51
egg,9930401,7660,107,176
faa,9976299,8771,106,187
fab,9637888,11134,123,159
fac,9807403,8211,138,205
fad,9801248,8439,282,412
fae,9955304,7437,7,18
faf,9969350,8850,147,221
fag,9841335,9990,85,220
fba,9907698,9621,95,200
fbb,9846458,8792,12,36
fbc,9972873,8537,310,690
fbd,9966885,7520,41,91
fbe,9992892,8499,9,42
fbf,9854264,10831,175,542
fbg,9942953,9183,118,172
fca,9629472,8576,79,202
fcb,9747096,9573,58,125
fcc,9772060,10031,116,211
fcd,9537370,10033,21,49
fce,9337862,8980,177,344
fcf,9995922,9502,208,277
fcg,9767604,8796,8,32
fda,9996247,9384,137,316
fdb,9920179,9934,41,78
fdc,9928385,9322,78,186
fdd,9765991,10495,5,8
fde,9955311,8791,35,107
fdf,9704517,9428,9,32
fdg,9630265,9826,5,20
fea,9906609,9154,66,133
feb,9543048,10363,15,49
fec,9680202,9627,143,336
fed,9962486,8565,108,184
fee,9824058,8438,89,188
fef,9864569,8951,180,306
feg,9784078,8441,122,282
ffa,9700277,8395,125,262
ffb,9974246,10660,187,375
ffc,9937551,9449,40,90
ffd,9834133,9090,73,186
ffe,9958921,10289,293,380
fff,9757151,9667,237,379
ffg,9802272,8868,478,683
fga,9713866,8922,66,133
fgb,9991193,9178,38,96
fgc,9712943,10196,99,200
fgd,9918577,8807,100,238
fge,9810008,8844,279,416
fgf,9971500,8295,16,56
fgg,9724760,7134,65,103
gaa,9777464,8484,69,154
gab,9903071,7794,8,31
gac,9610694,10557,608,1339
gad,9920971,8705,301,455
gae,9965595,10577,111,197
gaf,9961057,9826,12,43
gag,9381364,8988,10,24
gba,9997280,8275,8,21
gbb,9987483,8223,245,506
gbc,9985523,7773,109,162
gbd,9854882,10220,7,22
gbe,9984668,8263,325,500
gbf,9970228,10072,56,179
gbg,9970433,9116,6,21
gca,9899943,9356,94,168
gcb,9878818,7179,114,207
gcc,9976233,6963,47,95
gcd,9753667,8692,189,477
gce,9952618,9871,48,158
gcf,9875841,7095,68,131
gcg,9702412,7381,27,91
gda,9903736,9316,67,131
gdb,9994843,7918,65,129
gdc,9978562,10270,50,114
gdd,9879534,10339,189,394
gde,9841035,7487,89,183
gdf,9694046,7855,52,242
gdg,9924969,10247,22,59
gea,9978901,8571,32,109
geb,9906817,8114,97,155
gec,9541102,10368,29,96
ged,9996728,9730,19,73
gee,9794310,7315,8,19
gef,9874361,9228,81,278
geg,9889026,8383,88,120
gfa,9906571,9400,25,71
gfb,9981078,10377,52,113
gfc,9963625,7851,103,266
gfd,9391259,7785,144,308
gfe,9871846,8511,10,29
gff,9967326,7725,55,189
gfg,9991481,8791,104,265
gga,9942675,7086,63,138
ggb,9979383,7775,75,148
ggc,9978069,8041,69,212
ggd,9935270,9776,5,15
gge,9737429,10678,10,39
ggf,9876651,8577,69,146
ggg,9925777,8978,264,346
